,,0
cfpl_elongation,cfpr_nrdi04L,-0.7075015571925917
cfpr_nrdi04L,cfpl_elongation,-0.7075015571925917
cfpr_irregularity_of_end_region_2,cfpl_radius_of_end_region_1,-0.707150861535846
cfpl_radius_of_end_region_1,cfpr_irregularity_of_end_region_2,-0.707150861535846
fatr_irregularity_of_end_region_2,cfpl_total_surface_area,-0.7068162540163155
cfpl_total_surface_area,fatr_irregularity_of_end_region_2,-0.7068162540163155
cfpr_irregularity_of_end_region_2,slfl_mean_length,-0.7047092576356034
slfl_mean_length,cfpr_irregularity_of_end_region_2,-0.7047092576356034
cfpr_nrdi06L,cfpl_elongation,-0.7044384107272148
cfpl_elongation,cfpr_nrdi06L,-0.7044384107272148
fatr_irregularity_of_end_region_1,slfl_radius_of_end_region_2,-0.7039828207989907
slfl_radius_of_end_region_2,fatr_irregularity_of_end_region_1,-0.7039828207989907
slfr_diameter,slfr_elongation,-0.7028733235742979
slfr_elongation,slfr_diameter,-0.7028733235742979
fatr_curl,cfpr_diameter,-0.7025374627233331
cfpr_diameter,fatr_curl,-0.7025374627233331
cfpl_elongation,ufsr_nrdi06L,-0.7022467653832675
ufsr_nrdi06L,cfpl_elongation,-0.7022467653832675
slfl_mean_length,fatl_curl,-0.7018615699837243
fatl_curl,slfl_mean_length,-0.7018615699837243
cfpr_radius_of_end_region_2,fatr_radius_of_end_region_2,-0.7014016848204924
fatr_radius_of_end_region_2,cfpr_radius_of_end_region_2,-0.7014016848204924
afsl_area_of_end_region_1,fatl_irregularity_of_end_region_2,-0.7012319202898125
fatl_irregularity_of_end_region_2,afsl_area_of_end_region_1,-0.7012319202898125
fatl_curl,fatl_elongation,0.7001290672335206
fatl_elongation,fatl_curl,0.7001290672335206
cfpr_md,ufsr_md,0.700482023900386
ufsr_md,cfpr_md,0.700482023900386
cfpl_total_radius_of_end_regions,afsr_mean_length,0.7007143112424465
afsr_mean_length,cfpl_total_radius_of_end_regions,0.7007143112424465
cfpl_radius_of_end_region_2,cfpr_volume,0.7011512365405634
cfpr_volume,cfpl_radius_of_end_region_2,0.7011512365405634
cfpr_number_of_tracts,cfpl_trunk_volume,0.7011593777722879
cfpl_trunk_volume,cfpr_number_of_tracts,0.7011593777722879
slfr_irregularity,slfl_diameter,0.7012825483841578
slfl_diameter,slfr_irregularity,0.7012825483841578
afsr_ad,fatl_ad,0.7015596134744103
fatl_ad,afsr_ad,0.7015596134744103
fatr_dti_fa,fatl_irregularity,0.7015612531741805
fatl_irregularity,fatr_dti_fa,0.7015612531741805
cfpr_span,cfpr_area_of_end_region_2,0.701996703106491
cfpr_area_of_end_region_2,cfpr_span,0.701996703106491
ufsr_total_area_of_end_regions,ufsr_total_surface_area,0.7021959891277212
ufsr_total_surface_area,ufsr_total_area_of_end_regions,0.7021959891277212
