0,N
elongation	8.57051,sub-50020_dwi.Arcuate_Fasciculus_L.stat.txt	4
diameter(mm)	14.1572,sub-50020_dwi.Arcuate_Fasciculus_L.stat.txt	5
volume(mm^3)	19099.8,sub-50020_dwi.Arcuate_Fasciculus_L.stat.txt	6
trunk volume(mm^3)	14817.4,sub-50020_dwi.Arcuate_Fasciculus_L.stat.txt	7
branch volume(mm^3)	4282.37,sub-50020_dwi.Arcuate_Fasciculus_L.stat.txt	8
total surface area(mm^2)	32103.6,sub-50020_dwi.Arcuate_Fasciculus_L.stat.txt	9
total radius of end regions(mm)	18.2358,sub-50020_dwi.Arcuate_Fasciculus_L.stat.txt	10
total area of end regions(mm^2)	2404.12,sub-50020_dwi.Arcuate_Fasciculus_L.stat.txt	11
irregularity	5.94898,sub-50020_dwi.Arcuate_Fasciculus_L.stat.txt	12
area of end region 1(mm^2)	911.705,sub-50020_dwi.Arcuate_Fasciculus_L.stat.txt	13
radius of end region 1(mm)	10.6863,sub-50020_dwi.Arcuate_Fasciculus_L.stat.txt	14
irregularity of end region 1	0.393504,sub-50020_dwi.Arcuate_Fasciculus_L.stat.txt	15
area of end region 2(mm^2)	1492.42,sub-50020_dwi.Arcuate_Fasciculus_L.stat.txt	16
radius of end region 2(mm)	7.54954,sub-50020_dwi.Arcuate_Fasciculus_L.stat.txt	17
irregularity of end region 2	0.119978,sub-50020_dwi.Arcuate_Fasciculus_L.stat.txt	18
qa	0.193842,sub-50020_dwi.Arcuate_Fasciculus_L.stat.txt	19
dti_fa	0.462357,sub-50020_dwi.Arcuate_Fasciculus_L.stat.txt	20
md	0.804185,sub-50020_dwi.Arcuate_Fasciculus_L.stat.txt	21
ad	1.20925,sub-50020_dwi.Arcuate_Fasciculus_L.stat.txt	22
rd	0.601654,sub-50020_dwi.Arcuate_Fasciculus_L.stat.txt	23
iso	0.514168,sub-50020_dwi.Arcuate_Fasciculus_L.stat.txt	24
rdi	0.304699,sub-50020_dwi.Arcuate_Fasciculus_L.stat.txt	25
nrdi02L	0.390583,sub-50020_dwi.Arcuate_Fasciculus_L.stat.txt	26
nrdi04L	0.153311,sub-50020_dwi.Arcuate_Fasciculus_L.stat.txt	27
nrdi06L	0.0235665,sub-50020_dwi.Arcuate_Fasciculus_L.stat.txt	28
,sub-50020_dwi.Arcuate_Fasciculus_L.stat.txt	29
number of tracts	8448,sub-50021_dwi.Arcuate_Fasciculus_L.stat.txt	0
mean length(mm)	110.798,sub-50021_dwi.Arcuate_Fasciculus_L.stat.txt	1
span(mm)	35.3229,sub-50021_dwi.Arcuate_Fasciculus_L.stat.txt	2
curl	3.13672,sub-50021_dwi.Arcuate_Fasciculus_L.stat.txt	3
elongation	8.01319,sub-50021_dwi.Arcuate_Fasciculus_L.stat.txt	4
diameter(mm)	13.8269,sub-50021_dwi.Arcuate_Fasciculus_L.stat.txt	5
volume(mm^3)	16636.9,sub-50021_dwi.Arcuate_Fasciculus_L.stat.txt	6
trunk volume(mm^3)	10528.2,sub-50021_dwi.Arcuate_Fasciculus_L.stat.txt	7
