0,N
rd	0.717476,sub-10269_dwi.Frontal_Aslant_Tract_R.stat.txt	23
iso	0.309814,sub-10269_dwi.Frontal_Aslant_Tract_R.stat.txt	24
rdi	0.20874,sub-10269_dwi.Frontal_Aslant_Tract_R.stat.txt	25
nrdi02L	0.26838,sub-10269_dwi.Frontal_Aslant_Tract_R.stat.txt	26
nrdi04L	0.105729,sub-10269_dwi.Frontal_Aslant_Tract_R.stat.txt	27
nrdi06L	0.0165775,sub-10269_dwi.Frontal_Aslant_Tract_R.stat.txt	28
,sub-10269_dwi.Frontal_Aslant_Tract_R.stat.txt	29
number of tracts	8413,sub-10271_dwi.Frontal_Aslant_Tract_R.stat.txt	0
mean length(mm)	81.0344,sub-10271_dwi.Frontal_Aslant_Tract_R.stat.txt	1
span(mm)	31.7761,sub-10271_dwi.Frontal_Aslant_Tract_R.stat.txt	2
curl	2.55017,sub-10271_dwi.Frontal_Aslant_Tract_R.stat.txt	3
elongation	4.93901,sub-10271_dwi.Frontal_Aslant_Tract_R.stat.txt	4
diameter(mm)	16.407,sub-10271_dwi.Frontal_Aslant_Tract_R.stat.txt	5
volume(mm^3)	17132.4,sub-10271_dwi.Frontal_Aslant_Tract_R.stat.txt	6
trunk volume(mm^3)	15316.8,sub-10271_dwi.Frontal_Aslant_Tract_R.stat.txt	7
branch volume(mm^3)	1815.58,sub-10271_dwi.Frontal_Aslant_Tract_R.stat.txt	8
total surface area(mm^2)	28610.5,sub-10271_dwi.Frontal_Aslant_Tract_R.stat.txt	9
total radius of end regions(mm)	17.256,sub-10271_dwi.Frontal_Aslant_Tract_R.stat.txt	10
total area of end regions(mm^2)	3564.56,sub-10271_dwi.Frontal_Aslant_Tract_R.stat.txt	11
irregularity	6.84978,sub-10271_dwi.Frontal_Aslant_Tract_R.stat.txt	12
area of end region 1(mm^2)	2150.49,sub-10271_dwi.Frontal_Aslant_Tract_R.stat.txt	13
radius of end region 1(mm)	8.85136,sub-10271_dwi.Frontal_Aslant_Tract_R.stat.txt	14
irregularity of end region 1	0.114455,sub-10271_dwi.Frontal_Aslant_Tract_R.stat.txt	15
area of end region 2(mm^2)	1414.07,sub-10271_dwi.Frontal_Aslant_Tract_R.stat.txt	16
radius of end region 2(mm)	8.40466,sub-10271_dwi.Frontal_Aslant_Tract_R.stat.txt	17
irregularity of end region 2	0.156935,sub-10271_dwi.Frontal_Aslant_Tract_R.stat.txt	18
qa	0.109094,sub-10271_dwi.Frontal_Aslant_Tract_R.stat.txt	19
dti_fa	0.424769,sub-10271_dwi.Frontal_Aslant_Tract_R.stat.txt	20
md	0.788874,sub-10271_dwi.Frontal_Aslant_Tract_R.stat.txt	21
ad	1.15156,sub-10271_dwi.Frontal_Aslant_Tract_R.stat.txt	22
rd	0.607531,sub-10271_dwi.Frontal_Aslant_Tract_R.stat.txt	23
iso	0.284435,sub-10271_dwi.Frontal_Aslant_Tract_R.stat.txt	24
rdi	0.19143,sub-10271_dwi.Frontal_Aslant_Tract_R.stat.txt	25
nrdi02L	0.245392,sub-10271_dwi.Frontal_Aslant_Tract_R.stat.txt	26
nrdi04L	0.0963228,sub-10271_dwi.Frontal_Aslant_Tract_R.stat.txt	27
nrdi06L	0.014808,sub-10271_dwi.Frontal_Aslant_Tract_R.stat.txt	28
,sub-10271_dwi.Frontal_Aslant_Tract_R.stat.txt	29
number of tracts	7748,sub-10273_dwi.Frontal_Aslant_Tract_R.stat.txt	0
mean length(mm)	81.8753,sub-10273_dwi.Frontal_Aslant_Tract_R.stat.txt	1
