0,N
span(mm)	16.3609,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	2
curl	4.49222,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	3
elongation	5.66437,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	4
diameter(mm)	12.9753,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	5
volume(mm^3)	9718.33,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	6
trunk volume(mm^3)	7184.94,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	7
branch volume(mm^3)	2533.38,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	8
total surface area(mm^2)	17994.2,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	9
total radius of end regions(mm)	19.1361,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	10
total area of end regions(mm^2)	1311.25,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	11
irregularity	6.00617,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	12
area of end region 1(mm^2)	536.643,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	13
radius of end region 1(mm)	9.87048,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	14
irregularity of end region 1	0.570349,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	15
area of end region 2(mm^2)	774.607,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	16
radius of end region 2(mm)	9.2656,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	17
irregularity of end region 2	0.348189,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	18
qa	0.108895,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	19
dti_fa	0.349715,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	20
md	1.03626,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	21
ad	1.35706,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	22
rd	0.875865,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	23
iso	0.319723,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	24
rdi	0.211606,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	25
nrdi02L	0.272932,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	26
nrdi04L	0.107936,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	27
nrdi06L	0.0172695,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	28
,sub-10269_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	29
number of tracts	1658,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	0
mean length(mm)	93.548,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	1
span(mm)	31.4879,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	2
curl	2.97092,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	3
elongation	9.62663,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	4
diameter(mm)	9.71762,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	5
volume(mm^3)	6938.16,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	6
trunk volume(mm^3)	236.005,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	7
branch volume(mm^3)	6702.16,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	8
total surface area(mm^2)	17532.9,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	9
total radius of end regions(mm)	25.3393,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	10
total area of end regions(mm^2)	880.368,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	11
irregularity	6.13918,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	12
area of end region 1(mm^2)	330.016,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	13
radius of end region 1(mm)	13.7579,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	14
irregularity of end region 1	1.80185,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	15
area of end region 2(mm^2)	550.353,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	16
radius of end region 2(mm)	11.5814,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	17
irregularity of end region 2	0.765648,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	18
qa	0.107176,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	19
dti_fa	0.441441,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	20
md	0.775876,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	21
ad	1.15091,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	22
rd	0.58836,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	23
iso	0.267807,sub-10271_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	24
