0,N
nrdi02L	0.262651,sub-10271_dwi.Arcuate_Fasciculus_R.stat.txt	26
nrdi04L	0.102952,sub-10271_dwi.Arcuate_Fasciculus_R.stat.txt	27
nrdi06L	0.0157045,sub-10271_dwi.Arcuate_Fasciculus_R.stat.txt	28
,sub-10271_dwi.Arcuate_Fasciculus_R.stat.txt	29
number of tracts	10804,sub-10273_dwi.Arcuate_Fasciculus_R.stat.txt	0
mean length(mm)	110.701,sub-10273_dwi.Arcuate_Fasciculus_R.stat.txt	1
span(mm)	24.2042,sub-10273_dwi.Arcuate_Fasciculus_R.stat.txt	2
curl	4.57363,sub-10273_dwi.Arcuate_Fasciculus_R.stat.txt	3
elongation	6.62947,sub-10273_dwi.Arcuate_Fasciculus_R.stat.txt	4
diameter(mm)	16.6983,sub-10273_dwi.Arcuate_Fasciculus_R.stat.txt	5
volume(mm^3)	24242.9,sub-10273_dwi.Arcuate_Fasciculus_R.stat.txt	6
trunk volume(mm^3)	17285.2,sub-10273_dwi.Arcuate_Fasciculus_R.stat.txt	7
branch volume(mm^3)	6957.75,sub-10273_dwi.Arcuate_Fasciculus_R.stat.txt	8
